http://www.w3.org/ns/prov#wasDerivedFrom	http://purl.org/dc/elements/1.1/format	WoCID	DOI	Citation	X	Y	Accuracy	Crayfish_scientific_name	Pathogen_symbiont_present	Year_of_observation	Contributor
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L2	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2338	10.1016/j.jip.2017.09.004	Mrugała, A., Šanda, R., Petrusek, A., Marić, D., & Vukić, J. (2017). Recent acute crayfish mortality reveals Aphanomyces astaci presence in Bosnia and Herzegovina. Journal of invertebrate pathology, 150, 73-75.	43.37	17.62	High	Astacus astacus	Aphanomyces astaci	2015	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L3	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2339	10.3354/dao02955	Maguire, I., Jelic, M., Klobučar, G., Delpy, M., Delaunay, C. and Grandjean, F. 2016. Prevalence of the pathogen Aphanomyces astaci in freshwater crayfish populations in Croatia. Diseases of Aquatic Organisms. 118(1), 45-53(1), 45-53.	44.8807	15.6129	High	Astacus astacus	Aphanomyces astaci	2012	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L4	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2340	10.3354/dao02955	Maguire, I., Jelic, M., Klobučar, G., Delpy, M., Delaunay, C. and Grandjean, F. 2016. Prevalence of the pathogen Aphanomyces astaci in freshwater crayfish populations in Croatia. Diseases of Aquatic Organisms. 118(1), 45-53(1), 45-53.	45.2557	15.4127	High	Astacus astacus	Aphanomyces astaci	2013	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L5	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2341	10.1016/j.aquaculture.2007.11.015	Kozubíková, E., Petrusek, A., Ďuriš, Z., Martín, M. P., Diéguez-Uribeondo, J., & Oidtmann, B. (2008). The old menace is back: recent crayfish plague outbreaks in the Czech Republic. Aquaculture, 274(2-4), 208-217.	49.666	18.669	High	Astacus astacus	Aphanomyces astaci	2004	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L6	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2342	10.1016/j.aquaculture.2007.11.015	Kozubíková, E., Petrusek, A., Ďuriš, Z., Martín, M. P., Diéguez-Uribeondo, J., & Oidtmann, B. (2008). The old menace is back: recent crayfish plague outbreaks in the Czech Republic. Aquaculture, 274(2-4), 208-217.	49.898	14.365	High	Astacus astacus	Aphanomyces astaci	2005	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L7	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2343	10.1016/j.aquaculture.2007.11.015	Kozubíková, E., Petrusek, A., Ďuriš, Z., Martín, M. P., Diéguez-Uribeondo, J., & Oidtmann, B. (2008). The old menace is back: recent crayfish plague outbreaks in the Czech Republic. Aquaculture, 274(2-4), 208-217.	49.095	15.044	High	Astacus astacus	Aphanomyces astaci	2007	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L8	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2344	10.1016/j.vetmic.2014.02.020	Grandjean, F., Vrålstad, T., Dieguez-Uribeondo, J., Jelić, M., Mangombi, J., Delaunay, C., ... & Petrusek, A. (2014). Microsatellite markers for direct genotyping of the crayfish plague pathogen Aphanomyces astaci (Oomycetes) from infected host tissues. Veterinary Microbiology, 170(3-4), 317-324.	49.683	15.385	High	Astacus astacus	Aphanomyces astaci	2008	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L9	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2345	10.1016/j.vetmic.2014.02.020	Grandjean, F., Vrålstad, T., Dieguez-Uribeondo, J., Jelić, M., Mangombi, J., Delaunay, C., ... & Petrusek, A. (2014). Microsatellite markers for direct genotyping of the crayfish plague pathogen Aphanomyces astaci (Oomycetes) from infected host tissues. Veterinary Microbiology, 170(3-4), 317-324.	49.23	18.038	High	Astacus astacus	Aphanomyces astaci	2008	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L10	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2346	10.1016/j.vetmic.2014.02.020	Grandjean, F., Vrålstad, T., Dieguez-Uribeondo, J., Jelić, M., Mangombi, J., Delaunay, C., ... & Petrusek, A. (2014). Microsatellite markers for direct genotyping of the crayfish plague pathogen Aphanomyces astaci (Oomycetes) from infected host tissues. Veterinary Microbiology, 170(3-4), 317-324.	49.36	16.407	High	Astacus astacus	Aphanomyces astaci	2009	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L11	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2347	10.1080/03949370.2014.897652	Kozubíková-Balcarová, E., Beran, L., Ďuriš, Z., Fischer, D., Horká, I., Svobodová, J., & Petrusek, A. (2014). Status and recovery of indigenous crayfish populations after recent crayfish plague outbreaks in the Czech Republic. Ethology Ecology & Evolution, 26(2-3), 299-319.	49.402	12.826	High	Astacus astacus	Aphanomyces astaci	2014	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L12	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2348	10.1016/j.funbio.2013.07.005	Kozubíková-Balcarová, E., Koukol, O., Martín, M. P., Svoboda, J., Petrusek, A., & Diéguez-Uribeondo, J. (2013). The diversity of oomycetes on crayfish: Morphological vs. molecular identification of cultures obtained while isolating the crayfish plague pathogen. Fungal biology, 117(10), 682-691.	49.669	13.964	High	Astacus astacus	Aphanomyces astaci	2011	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L13	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2349	10.1016/j.jip.2020.107390	Mojžišová, M., Mrugała, A., Kozubíková-Balcarová, E., Vlach, P., Svobodová, J., Kouba, A., & Petrusek, A. (2020). Crayfish plague in Czechia: Outbreaks from novel sources and testing for chronic infections. Journal of invertebrate pathology, 173, 107390.	49.766	15.208	High	Astacus astacus	Aphanomyces astaci	2016	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L14	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2350	10.1016/j.jip.2020.107390	Mojžišová, M., Mrugała, A., Kozubíková-Balcarová, E., Vlach, P., Svobodová, J., Kouba, A., & Petrusek, A. (2020). Crayfish plague in Czechia: Outbreaks from novel sources and testing for chronic infections. Journal of invertebrate pathology, 173, 107390.	49.57	18.366	High	Astacus astacus	Aphanomyces astaci	2016	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L15	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2351	10.1016/j.jip.2020.107390	Mojžišová, M., Mrugała, A., Kozubíková-Balcarová, E., Vlach, P., Svobodová, J., Kouba, A., & Petrusek, A. (2020). Crayfish plague in Czechia: Outbreaks from novel sources and testing for chronic infections. Journal of invertebrate pathology, 173, 107390.	49.036	13.983	High	Astacus astacus	Aphanomyces astaci	2018	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L16	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2352	10.1016/j.jip.2020.107390	Mojžišová, M., Mrugała, A., Kozubíková-Balcarová, E., Vlach, P., Svobodová, J., Kouba, A., & Petrusek, A. (2020). Crayfish plague in Czechia: Outbreaks from novel sources and testing for chronic infections. Journal of invertebrate pathology, 173, 107390.	48.781	14.62	High	Astacus astacus	Aphanomyces astaci	2018	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L17	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2353	10.1016/j.jip.2020.107390	Mojžišová, M., Mrugała, A., Kozubíková-Balcarová, E., Vlach, P., Svobodová, J., Kouba, A., & Petrusek, A. (2020). Crayfish plague in Czechia: Outbreaks from novel sources and testing for chronic infections. Journal of invertebrate pathology, 173, 107390.	49.457	18.134	High	Astacus astacus	Aphanomyces astaci	2018	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L18	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2354	10.1016/j.jip.2020.107390	Mojžišová, M., Mrugała, A., Kozubíková-Balcarová, E., Vlach, P., Svobodová, J., Kouba, A., & Petrusek, A. (2020). Crayfish plague in Czechia: Outbreaks from novel sources and testing for chronic infections. Journal of invertebrate pathology, 173, 107390.	49.897	13.89	High	Astacus astacus	Aphanomyces astaci	2018	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L19	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2355	10.1016/j.jip.2020.107390	Mojžišová, M., Mrugała, A., Kozubíková-Balcarová, E., Vlach, P., Svobodová, J., Kouba, A., & Petrusek, A. (2020). Crayfish plague in Czechia: Outbreaks from novel sources and testing for chronic infections. Journal of invertebrate pathology, 173, 107390.	49.93	15.254	High	Astacus astacus	Aphanomyces astaci	2014	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L20	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2356	10.1016/j.jip.2020.107390	Mojžišová, M., Mrugała, A., Kozubíková-Balcarová, E., Vlach, P., Svobodová, J., Kouba, A., & Petrusek, A. (2020). Crayfish plague in Czechia: Outbreaks from novel sources and testing for chronic infections. Journal of invertebrate pathology, 173, 107390.	49.552	18.336	High	Astacus astacus	Aphanomyces astaci	2019	Mihaela C. Ion
line:xlsx:hash://sha256/9e39c455e1ff8023d824acd57a86651c913869a6fbf3ed7b6e320cc778cac072!/Sheet1!/L21	application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	WA2357	10.1007/s10530-017-1496-z	Kaldre, K., Paaver, T., Hurt, M., & Grandjean, F. (2017). First records of the non-indigenous signal crayfish (Pacifastacus leniusculus) and its threat to noble crayfish (Astacus astacus) populations in Estonia. Biological Invasions, 19(10), 2771-2776.	58.2	22.07	Low	Astacus astacus	Aphanomyces astaci	2007	Mihaela C. Ion
